Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;exploitant;num_psr;idf;principal;x;y;picto ligne
48.8819319987,2.39344545649;"{""type"": ""Point"", ""coordinates"": [2.393445456490355, 48.8819319987282]}";232;DANUBE;Danube;;;71930;Danube;42822;Danube;2361;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01550;C01387;7b;14.0;7b-117031;7b;METRO;METRO 7bis;RATP;0;1;0;655516.8981;6864827.9634;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/53a6369ab3772b0115d7c675f45329d2
48.8395496456,2.39570328944;"{""type"": ""Point"", ""coordinates"": [2.395703289436393, 48.83954964556867]}";233;DAUMESNIL;Daumesnil;;;71614;Daumesnil;45229;Daumesnil;2126;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;C01376;6;12.0;6-106037;6;METRO;METRO 6;RATP;0;1;0;655646.4124;6860114.1078;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0
48.89325759,2.41331313951;"{""type"": ""Point"", ""coordinates"": [2.41331313951059, 48.89325758997389]}";253;EGLISE DE PANTIN;Église de Pantin;;;72024;Église de Pantin;42949;Église de Pantin;2120;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01538;C01375;5;11.0;5-105043;5;METRO;METRO 5;RATP;0;1;0;656983.2711;6866076.3042;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273
48.8758906819,2.34412603046;"{""type"": ""Point"", ""coordinates"": [2.344126030464425, 48.8758906818937]}";122;CADET;Cadet;;;71351;Cadet;42414;Cadet;2176;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;7;13.0;7-107049;7;METRO;METRO 7;RATP;0;1;0;651894.4424;6864185.1221;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
48.8404866526,2.35173948717;"{""type"": ""Point"", ""coordinates"": [2.351739487166926, 48.84048665264119]}";127;CENSIER-DAUBENTON;Censier-Daubenton;;;71100;Censier Daubenton;42461;Censier Daubenton;2164;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;7;13.0;7-107073;7;METRO;METRO 7;RATP;0;1;0;652420.525;6860243.8862;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
48.8577088197,2.34794431111;"{""type"": ""Point"", ""coordinates"": [2.347944311105258, 48.857708819688476]}";167;CHATELET;Châtelet;;;71264;Châtelet;42587;Châtelet;2372;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01547;C01384;14;6.0;14-111057;14;METRO;METRO 14;RATP;0;1;0;652157.7956;6862161.1206;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5
48.8948364684,2.38252234342;"{""type"": ""Point"", ""coordinates"": [2.382522343415364, 48.894836468401735]}";209;CORENTIN CARIOU;Corentin Cariou;;;72031;Corentin Cariou;45598;Corentin Cariou;2184;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;7;13.0;7-107033;7;METRO;METRO 7;RATP;0;1;0;654727.0632;6866269.0824;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
48.8699575127,2.37109483973;"{""type"": ""Point"", ""coordinates"": [2.3710948397312, 48.869957512703]}";332;GONCOURT (HOPITAL SAINT-LOUIS);Goncourt;Hôpital Saint-Louis;;71840;Goncourt;43298;Goncourt;2291;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01544;C01381;11;3.0;11-111047;11;METRO;METRO 11;RATP;0;1;0;653867.1922;6863509.3023;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94
48.8928288534,2.3274284585;"{""type"": ""Point"", ""coordinates"": [2.327428458503176, 48.89282885338916]}";342;GUY MOQUET;Guy Môquet;;;71528;Guy-Môquet;43333;Guy Môquet;2349;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;C01383;13;5.0;13-114069;13;METRO;METRO 13;RATP;0;1;0;650685.8186;6866078.8433;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1
48.8762727035,2.35805790434;"{""type"": ""Point"", ""coordinates"": [2.358057904336898, 48.87627270348875]}";315;GARE DE L'EST;Gare de l'Est;;;71359;Gare de l'Est;43138;Gare de l'Est;2178;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;7;13.0;7-327;7;METRO;METRO 7;RATP;0;1;1;652916.6085;6864219.2029;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
